,wine,wine_id,wine_slug,appellation,appellation_slug,color,wine_type,regions,country,classification,vintage,date,is_primeurs,score,confidence_index,journalist_count,lwin,lwin_11
0,"Chateau Mejean, Graves",39251,chateau-mejean-graves,Graves,graves,Red,,['Bordeaux'],France,,2012,2015-07-01,False,86.92,B,4,,
1,"Chateau Godeau, Saint Emilion Grand Cru",36049,chateau-godeau-saint-emilion-grand-cru,Saint Emilion Grand Cru,saint-emilion-grand-cru,Red,,['Bordeaux'],France,,2012,2015-07-01,False,86.81,B,9,,
2,"Querciabella, Chianti Classico",147390,querciabella-chianti-classico,Chianti Classico,chianti-classico,Red,,['Tuscany'],Italy,,2005,2015-07-01,False,86.66,A+,3,,
3,"Chateau De Valandraud, 3 De Valandraud, Saint Emilion Grand Cru",34954,chateau-de-valandraud-3-de-valandraud-saint-emilion-grand-cru,Saint Emilion Grand Cru,saint-emilion-grand-cru,Red,,['Bordeaux'],France,,2012,2015-07-01,False,86.65,B+,7,1005918.0,10059182012.0
4,"Chateau Daugay, Saint Emilion",33687,chateau-daugay-saint-emilion,Saint Emilion,saint-emilion,Red,,['Bordeaux'],France,,2012,2015-07-01,False,86.59,B+,10,1335244.0,13352442012.0
5,"Chateau Gigault, Cuvee Viva, Blaye Cotes De Bordeaux",36016,chateau-gigault-cuvee-viva-blaye-cotes-de-bordeaux,Blaye Cotes De Bordeaux,blaye-cotes-de-bordeaux,Red,,['Bordeaux'],France,,2012,2015-07-01,False,86.47,B+,9,,
6,"Chateau Saint Paul, Haut Medoc",40714,chateau-saint-paul-haut-medoc,Haut Medoc,haut-medoc,Red,,['Bordeaux'],France,Cru Bourgeois,2012,2015-07-01,False,86.46,B,7,,
7,"Chateau La Rousselle, Fronsac",37707,chateau-la-rousselle-fronsac,Fronsac,fronsac,Red,,['Bordeaux'],France,,2012,2015-07-01,False,86.39,A,8,,
8,"Chateau Du Courlat, Cuvee Jean Baptiste, Lussac Saint Emilion",35326,chateau-du-courlat-cuvee-jean-baptiste-lussac-saint-emilion,Lussac Saint Emilion,lussac-saint-emilion,Red,,['Bordeaux'],France,,2012,2015-07-01,False,86.39,A,4,,
9,"Esprit De Pavie, Bordeaux",70780,esprit-de-pavie-bordeaux,Bordeaux,bordeaux,Red,,['Bordeaux'],France,,2012,2015-07-01,False,86.26,A,7,,
10,"Virginie Thunevin, Domaine Virginie Thunevin, Bordeaux",142675,virginie-thunevin-domaine-virginie-thunevin-bordeaux,Bordeaux,bordeaux,Red,,['Bordeaux'],France,,2012,2015-07-01,False,86.03,A,8,,
11,"Chateau Roylland, Saint Emilion Grand Cru",40620,chateau-roylland-saint-emilion-grand-cru,Saint Emilion Grand Cru,saint-emilion-grand-cru,Red,,['Bordeaux'],France,,2012,2015-07-01,False,85.75,B,5,,
12,"Compagnie Vinicole Edmond De Rothschild, Chateau Des Laurets, Puisseguin Saint Emilion",35124,compagnie-vinicole-edmond-de-rothschild-chateau-des-laurets-puisseguin-saint-emilion,Puisseguin Saint Emilion,puisseguin-saint-emilion,Red,,['Bordeaux'],France,,2012,2015-07-01,False,85.64,B,4,,
13,"Chateau De Francs, Les Cerisiers, Francs Cotes De Bordeaux",34098,chateau-de-francs-les-cerisiers-francs-cotes-de-bordeaux,Francs Cotes De Bordeaux,francs-cotes-de-bordeaux,Red,,['Bordeaux'],France,,2012,2015-07-01,False,85.62,B,9,,
14,"Chateau Reclos De La Couronne, Montagne Saint Emilion",40366,chateau-reclos-de-la-couronne-montagne-saint-emilion,Montagne Saint Emilion,montagne-saint-emilion,Red,,['Bordeaux'],France,,2012,2015-07-01,False,85.4,C+,4,,
15,"Chateau Ad Francos, Francs Cotes De Bordeaux",32137,chateau-ad-francos-francs-cotes-de-bordeaux,Francs Cotes De Bordeaux,francs-cotes-de-bordeaux,Red,,['Bordeaux'],France,,2012,2015-07-01,False,85.31,B,3,,
16,"Chateau De Viaud, Lalande De Pomerol",35001,chateau-de-viaud-lalande-de-pomerol,Lalande De Pomerol,lalande-de-pomerol,Red,,['Bordeaux'],France,,2012,2015-07-01,False,84.65,C,5,,
17,"Chateau Garraud, Lalande De Pomerol",35947,chateau-garraud-lalande-de-pomerol,Lalande De Pomerol,lalande-de-pomerol,Red,,['Bordeaux'],France,,2012,2015-07-01,False,83.98,B+,3,,
18,"Kongsgaard, The Judge Chardonnay, White, Napa Valley",91591,kongsgaard-the-judge-chardonnay-white-napa-valley,Napa Valley,napa-valley,White,dry,['California'],Usa,,2012,2015-06-30,False,96.87,A+,4,,
19,"Cayuse Vineyards, Armada Vineyard Syrah, Walla Walla Valley",30141,cayuse-vineyards-armada-vineyard-syrah-walla-walla-valley,Walla Walla Valley,walla-walla-valley,Red,,['Washington'],Usa,,2011,2015-06-30,False,94.46,B,4,,
20,"Casanova Di Neri, Brunello Di Montalcino",27344,casanova-di-neri-brunello-di-montalcino,Brunello Di Montalcino,brunello-di-montalcino,Red,,['Tuscany'],Italy,,2010,2015-06-30,False,94.1,B,4,1139187.0,11391872010.0
21,"Kongsgaard, Chardonnay, White, Napa Valley",91585,kongsgaard-chardonnay-white-napa-valley,Napa Valley,napa-valley,White,dry,['California'],Usa,,2012,2015-06-30,False,93.87,B,5,1122545.0,11225452012.0
22,"Kistler Vineyards, Hudson Vineyard Chardonnay, White, Carneros",91298,kistler-vineyards-hudson-vineyard-chardonnay-white-carneros,Carneros,carneros,White,dry,['California'],Usa,,2012,2015-06-30,False,93.6,B,3,,
23,"Kanonkop Estate, Paul Sauer, Stellenbosch",150593,kanonkop-estate-paul-sauer-stellenbosch,Stellenbosch,stellenbosch,Red,,['Coastal Region'],South Africa,,2011,2015-06-30,False,92.45,A,4,,
24,"Outpost, Zinfandel, Howell Mountain",111478,outpost-zinfandel-howell-mountain,Howell Mountain,howell-mountain,Red,,['California'],Usa,,2012,2015-06-30,False,91.92,B+,4,,
25,"Tenuta Fanti, Brunello Di Montalcino",148602,tenuta-fanti-brunello-di-montalcino,Brunello Di Montalcino,brunello-di-montalcino,Red,,['Tuscany'],Italy,,2010,2015-06-30,False,91.45,B,6,1098930.0,10989302010.0
26,"Domaine De La Vougeraie, Blanc, Savigny Les Beaune",55351,domaine-de-la-vougeraie-blanc-savigny-les-beaune,Savigny Les Beaune,savigny-les-beaune,White,dry,['Bourgogne'],France,,2012,2015-06-30,False,88.01,B,5,,
27,"Scarecrow, Cabernet Sauvignon, Rutherford",125262,scarecrow-cabernet-sauvignon-rutherford,Rutherford,rutherford,Red,,['California'],Usa,,2005,2015-06-29,False,97.28,A+,3,1141346.0,11413462005.0
28,"Cayuse Vineyards, Armada Vineyard Syrah, Walla Walla Valley",30141,cayuse-vineyards-armada-vineyard-syrah-walla-walla-valley,Walla Walla Valley,walla-walla-valley,Red,,['Washington'],Usa,,2006,2015-06-29,False,97.21,B+,5,,
29,"Cayuse Vineyards, Cailloux Vineyard Syrah, Walla Walla Valley",30143,cayuse-vineyards-cailloux-vineyard-syrah-walla-walla-valley,Walla Walla Valley,walla-walla-valley,Red,,['Washington'],Usa,,2010,2015-06-29,False,96.87,A+,4,1135701.0,11357012010.0
30,"Cayuse Vineyards, Cailloux Vineyard Syrah, Walla Walla Valley",30143,cayuse-vineyards-cailloux-vineyard-syrah-walla-walla-valley,Walla Walla Valley,walla-walla-valley,Red,,['Washington'],Usa,,2007,2015-06-29,False,96.83,A,6,1135701.0,11357012007.0
31,"Cayuse Vineyards, Cailloux Vineyard Syrah, Walla Walla Valley",30143,cayuse-vineyards-cailloux-vineyard-syrah-walla-walla-valley,Walla Walla Valley,walla-walla-valley,Red,,['Washington'],Usa,,2005,2015-06-29,False,96.58,B,4,1135701.0,11357012005.0
32,"Cayuse Vineyards, Armada Vineyard Syrah, Walla Walla Valley",30141,cayuse-vineyards-armada-vineyard-syrah-walla-walla-valley,Walla Walla Valley,walla-walla-valley,Red,,['Washington'],Usa,,2003,2015-06-29,False,96.57,B,4,,
