,wine,wine_id,wine_slug,appellation,appellation_slug,color,wine_type,regions,country,classification,vintage,date,is_primeurs,score,confidence_index,journalist_count,lwin,lwin_11
0,"Chateau Lafleur, Pomerol",37920,chateau-lafleur-pomerol,Pomerol,pomerol,Red,,['Bordeaux'],France,,2017,2020-12-01,False,97.76,A,13,1011902.0,10119022017.0
1,"Vieux Chateau Certan, Pomerol",147420,vieux-chateau-certan-pomerol,Pomerol,pomerol,Red,,['Bordeaux'],France,,2017,2020-12-01,False,96.78,A,12,1016082.0,10160822017.0
2,"Petrus, Pomerol",114959,petrus-pomerol,Pomerol,pomerol,Red,,['Bordeaux'],France,,2017,2020-12-01,False,96.67,A,15,1014033.0,10140332017.0
3,"Chateau Pavie, Saint Emilion Grand Cru",39797,chateau-pavie-saint-emilion-grand-cru,Saint Emilion Grand Cru,saint-emilion-grand-cru,Red,,['Bordeaux'],France,Premier Grand Cru classé A,2017,2020-12-01,False,96.36,A,12,1013850.0,10138502017.0
4,"Chateau L'Eglise Clinet, Pomerol",36905,chateau-leglise-clinet-pomerol,Pomerol,pomerol,Red,,['Bordeaux'],France,,2017,2020-12-01,False,96.18,A,12,1009567.0,10095672017.0
5,"Chateau Cheval Blanc, Saint Emilion Grand Cru",33249,chateau-cheval-blanc-saint-emilion-grand-cru,Saint Emilion Grand Cru,saint-emilion-grand-cru,Red,,['Bordeaux'],France,Premier Grand Cru classé A,2017,2020-12-01,False,95.7,A,14,1008108.0,10081082017.0
6,"Le Pin, Pomerol",95075,le-pin-pomerol,Pomerol,pomerol,Red,,['Bordeaux'],France,,2017,2020-12-01,False,95.67,A,10,1014192.0,10141922017.0
7,"Chateau La Conseillante, Pomerol",37148,chateau-la-conseillante-pomerol,Pomerol,pomerol,Red,,['Bordeaux'],France,,2017,2020-12-01,False,95.14,A,14,1008746.0,10087462017.0
8,"Chateau Figeac, Saint Emilion Grand Cru",35687,chateau-figeac-saint-emilion-grand-cru,Saint Emilion Grand Cru,saint-emilion-grand-cru,Red,,['Bordeaux'],France,Premier Grand Cru classé B,2017,2020-12-01,False,94.85,A+,13,1009769.0,10097692017.0
9,"Chateau Trotanoy, Pomerol",41521,chateau-trotanoy-pomerol,Pomerol,pomerol,Red,,['Bordeaux'],France,,2017,2020-12-01,False,94.82,B+,14,1015955.0,10159552017.0
10,"Chateau De Valandraud, Saint Emilion Grand Cru",34959,chateau-de-valandraud-saint-emilion-grand-cru,Saint Emilion Grand Cru,saint-emilion-grand-cru,Red,,['Bordeaux'],France,Premier Grand Cru classé B,2017,2020-12-01,False,94.72,A,17,1015984.0,10159842017.0
11,"Chateau L'Evangile, Pomerol",36985,chateau-levangile-pomerol,Pomerol,pomerol,Red,,['Bordeaux'],France,,2017,2020-12-01,False,94.61,A,14,1009642.0,10096422017.0
12,"Duffau Lagarrosse, Chateau Beausejour, Saint Emilion Grand Cru",68102,duffau-lagarrosse-chateau-beausejour-saint-emilion-grand-cru,Saint Emilion Grand Cru,saint-emilion-grand-cru,Red,,['Bordeaux'],France,Premier Grand Cru classé B,2017,2020-12-01,False,94.31,A,14,1006423.0,10064232017.0
13,"Chateau Troplong Mondot, Saint Emilion Grand Cru",41516,chateau-troplong-mondot-saint-emilion-grand-cru,Saint Emilion Grand Cru,saint-emilion-grand-cru,Red,,['Bordeaux'],France,Premier Grand Cru classé B,2017,2020-12-01,False,94.01,B+,16,1015942.0,10159422017.0
14,"Chateau Pavie Macquin, Saint Emilion Grand Cru",39794,chateau-pavie-macquin-saint-emilion-grand-cru,Saint Emilion Grand Cru,saint-emilion-grand-cru,Red,,['Bordeaux'],France,Premier Grand Cru classé B,2017,2020-12-01,False,93.87,A,15,1013876.0,10138762017.0
15,"Chateau Hosanna, Pomerol",36775,chateau-hosanna-pomerol,Pomerol,pomerol,Red,,['Bordeaux'],France,,2017,2020-12-01,False,93.57,A+,14,1011595.0,10115952017.0
16,"Chateau La Violette, Pomerol",37814,chateau-la-violette-pomerol,Pomerol,pomerol,Red,,['Bordeaux'],France,,2017,2020-12-01,False,93.56,A,10,1016271.0,10162712017.0
17,"Clos Fourtet, Saint Emilion Grand Cru",43865,clos-fourtet-saint-emilion-grand-cru,Saint Emilion Grand Cru,saint-emilion-grand-cru,Red,,['Bordeaux'],France,Premier Grand Cru classé B,2017,2020-12-01,False,93.25,A,15,1008560.0,10085602017.0
18,"Enclos Tourmaline, Pomerol",69974,enclos-tourmaline-pomerol,Pomerol,pomerol,Red,,['Bordeaux'],France,,2017,2020-12-01,False,92.79,B+,6,,
19,"Chateau Lafleur, Les Pensees De Lafleur, Pomerol",37919,chateau-lafleur-les-pensees-de-lafleur-pomerol,Pomerol,pomerol,Red,,['Bordeaux'],France,,2017,2020-12-01,False,92.48,A+,13,1013935.0,10139352017.0
20,"Chateau Le Gay, Pomerol",38325,chateau-le-gay-pomerol,Pomerol,pomerol,Red,,['Bordeaux'],France,,2017,2020-12-01,False,92.31,A,13,1010497.0,10104972017.0
21,"Chateau L'If, Saint Emilion",36990,chateau-lif-saint-emilion,Saint Emilion,saint-emilion,Red,,['Bordeaux'],France,,2017,2020-12-01,False,92.28,B,10,1191992.0,11919922017.0
22,"Chateau Petit Village, Pomerol",39919,chateau-petit-village-pomerol,Pomerol,pomerol,Red,,['Bordeaux'],France,,2017,2020-12-01,False,92.04,A,14,1014017.0,10140172017.0
23,"Chateau Clinet, Pomerol",33285,chateau-clinet-pomerol,Pomerol,pomerol,Red,,['Bordeaux'],France,,2017,2020-12-01,False,91.93,B+,15,1008225.0,10082252017.0
24,"Chateau Certan de May, Pomerol",33150,chateau-certan-de-may-pomerol,Pomerol,pomerol,Red,,['Bordeaux'],France,,2017,2020-12-01,False,91.81,A,14,1007909.0,10079092017.0
25,"Chateau Latour A Pomerol, Pomerol",38168,chateau-latour-a-pomerol-pomerol,Pomerol,pomerol,Red,,['Bordeaux'],France,,2017,2020-12-01,False,91.71,A+,12,1012345.0,10123452017.0
26,"Chateau Trottevieille, Saint Emilion Grand Cru",41523,chateau-trottevieille-saint-emilion-grand-cru,Saint Emilion Grand Cru,saint-emilion-grand-cru,Red,,['Bordeaux'],France,Premier Grand Cru classé B,2017,2020-12-01,False,91.6,A,13,1015968.0,10159682017.0
27,"Chateau Le Bon Pasteur, Pomerol",38231,chateau-le-bon-pasteur-pomerol,Pomerol,pomerol,Red,,['Bordeaux'],France,,2017,2020-12-01,False,91.48,A+,16,1007156.0,10071562017.0
28,"Chateau Canon La Gaffeliere, Saint Emilion Grand Cru",32979,chateau-canon-la-gaffeliere-saint-emilion-grand-cru,Saint Emilion Grand Cru,saint-emilion-grand-cru,Red,,['Bordeaux'],France,Premier Grand Cru classé B,2017,2020-12-01,False,91.22,A,16,1007589.0,10075892017.0
29,"Chateau Gazin, Pomerol",35975,chateau-gazin-pomerol,Pomerol,pomerol,Red,,['Bordeaux'],France,,2017,2020-12-01,False,91.09,A,14,1010514.0,10105142017.0
30,"Chateau L'Eglise Clinet, La Petite Eglise, Pomerol",36904,chateau-leglise-clinet-la-petite-eglise-pomerol,Pomerol,pomerol,Red,,['Bordeaux'],France,,2017,2020-12-01,False,90.87,A,10,1014020.0,10140202017.0
31,"Chateau La Croix De Gay, Chateau La Fleur De Gay, Pomerol",37193,chateau-la-croix-de-gay-chateau-la-fleur-de-gay-pomerol,Pomerol,pomerol,Red,,['Bordeaux'],France,,2017,2020-12-01,False,90.84,A,10,1009958.0,10099582017.0
32,"Chateau Nenin, Pomerol",39684,chateau-nenin-pomerol,Pomerol,pomerol,Red,,['Bordeaux'],France,,2017,2020-12-01,False,90.84,A,13,1013573.0,10135732017.0
33,"Chateau De Valandraud, Virginie De Valandraud, Saint Emilion Grand Cru",34960,chateau-de-valandraud-virginie-de-valandraud-saint-emilion-grand-cru,Saint Emilion Grand Cru,saint-emilion-grand-cru,Red,,['Bordeaux'],France,,2017,2020-12-01,False,90.78,A,11,1016284.0,10162842017.0
34,"Chateau Cheval Blanc, Le Petit Cheval, Saint Emilion Grand Cru",33248,chateau-cheval-blanc-le-petit-cheval-saint-emilion-grand-cru,Saint Emilion Grand Cru,saint-emilion-grand-cru,Red,,['Bordeaux'],France,,2017,2020-12-01,False,90.69,A+,12,1013951.0,10139512017.0
35,"Chateau Bellefont Belcier, Saint Emilion Grand Cru",32494,chateau-bellefont-belcier-saint-emilion-grand-cru,Saint Emilion Grand Cru,saint-emilion-grand-cru,Red,,['Bordeaux'],France,Grand Cru classé,2017,2020-12-01,False,90.49,A,15,1006768.0,10067682017.0
36,"Clos Du Clocher, Pomerol",43755,clos-du-clocher-pomerol,Pomerol,pomerol,Red,,['Bordeaux'],France,,2017,2020-12-01,False,90.46,B+,10,,
37,"Thunevin, Le Clos Du Beau-Pere, Pomerol",135122,thunevin-le-clos-du-beau-pere-pomerol,Pomerol,pomerol,Red,,['Bordeaux'],France,,2017,2020-12-01,False,90.38,A,10,,
38,"Chateau La Dominique, Saint Emilion Grand Cru",37271,chateau-la-dominique-saint-emilion-grand-cru,Saint Emilion Grand Cru,saint-emilion-grand-cru,Red,,['Bordeaux'],France,Grand Cru classé,2017,2020-12-01,False,90.35,A,14,1009437.0,10094372017.0
39,"Chateau Les Cruzelles, Lalande De Pomerol",38581,chateau-les-cruzelles-lalande-de-pomerol,Lalande De Pomerol,lalande-de-pomerol,Red,,['Bordeaux'],France,,2017,2020-12-01,False,90.35,A+,12,1009189.0,10091892017.0
40,"Chateau Pavie, Les Aromes De Pavie, Saint-Emilion",39796,chateau-pavie-les-aromes-de-pavie-saint-emilion,Saint-Emilion,saint-emilion,Red,,['Bordeaux'],France,,2017,2020-12-01,False,90.33,A,13,1006120.0,10061202017.0
41,"Chateau Bourgneuf, Pomerol",32756,chateau-bourgneuf-pomerol,Pomerol,pomerol,Red,,['Bordeaux'],France,,2017,2020-12-01,False,90.31,A,14,1176027.0,11760272017.0
42,"Chateau Laroque, Margaux",38117,chateau-laroque-margaux,Margaux,margaux,Red,,['Bordeaux'],France,,2017,2020-12-01,False,90.24,B,4,,
43,"Chateau Saint-Georges Cote Pavie, Saint Emilion Grand Cru",40761,chateau-saint-georges-cote-pavie-saint-emilion-grand-cru,Saint Emilion Grand Cru,saint-emilion-grand-cru,Red,,['Bordeaux'],France,Grand Cru classé,2017,2020-12-01,False,90.16,A,9,,
44,"Chateau Vray Croix De Gay, Pomerol",41789,chateau-vray-croix-de-gay-pomerol,Pomerol,pomerol,Red,,['Bordeaux'],France,,2017,2020-12-01,False,90.14,B+,11,,
45,"Vignobles Denis Barraud, Chateau Les Gravieres, Saint Emilion Grand Cru",38636,vignobles-denis-barraud-chateau-les-gravieres-saint-emilion-grand-cru,Saint Emilion Grand Cru,saint-emilion-grand-cru,Red,,['Bordeaux'],France,,2017,2020-12-01,False,89.77,B,6,,
46,"Chateau Feytit Clinet, Pomerol",35682,chateau-feytit-clinet-pomerol,Pomerol,pomerol,Red,,['Bordeaux'],France,,2017,2020-12-01,False,89.59,B,15,1009730.0,10097302017.0
47,"Denis Durantou, Chateau La Chenade, Lalande De Pomerol",50217,denis-durantou-chateau-la-chenade-lalande-de-pomerol,Lalande De Pomerol,lalande-de-pomerol,Red,,['Bordeaux'],France,,2017,2020-12-01,False,89.56,A,12,1008094.0,10080942017.0
48,"Chateau La Clemence, Pomerol",37118,chateau-la-clemence-pomerol,Pomerol,pomerol,Red,,['Bordeaux'],France,,2017,2020-12-01,False,89.54,B+,10,1008182.0,10081822017.0
49,"Chateau Beauregard, Pomerol",32384,chateau-beauregard-pomerol,Pomerol,pomerol,Red,,['Bordeaux'],France,,2017,2020-12-01,False,89.47,A,15,1006377.0,10063772017.0
50,"Chateau Saint Pierre, Pomerol",147396,chateau-saint-pierre-pomerol,Pomerol,pomerol,Red,,['Bordeaux'],France,,2017,2020-12-01,False,89.47,B+,8,,
51,"Chateau Louis, Saint Emilion Grand Cru",38881,chateau-louis-saint-emilion-grand-cru,Saint Emilion Grand Cru,saint-emilion-grand-cru,Red,,['Bordeaux'],France,,2017,2020-12-01,False,89.44,B+,5,,
52,"Chateau Grand Mayne, Saint Emilion Grand Cru",36137,chateau-grand-mayne-saint-emilion-grand-cru,Saint Emilion Grand Cru,saint-emilion-grand-cru,Red,,['Bordeaux'],France,Grand Cru classé,2017,2020-12-01,False,89.43,A,13,1010729.0,10107292017.0
53,"Chateau La Cabanne, Pomerol",37070,chateau-la-cabanne-pomerol,Pomerol,pomerol,Red,,['Bordeaux'],France,,2017,2020-12-01,False,89.39,A,14,,
54,"Chateau Troplong Mondot, Mondot, Saint Emilion Grand Cru",41515,chateau-troplong-mondot-mondot-saint-emilion-grand-cru,Saint Emilion Grand Cru,saint-emilion-grand-cru,Red,,['Bordeaux'],France,,2017,2020-12-01,False,89.36,B+,4,,
55,"Chateau Taillefer, Pomerol",41121,chateau-taillefer-pomerol,Pomerol,pomerol,Red,,['Bordeaux'],France,,2017,2020-12-01,False,89.29,A,10,1015359.0,10153592017.0
56,"Chateau Moulin Saint Georges, Saint Emilion Grand Cru",39609,chateau-moulin-saint-georges-saint-emilion-grand-cru,Saint Emilion Grand Cru,saint-emilion-grand-cru,Red,,['Bordeaux'],France,,2017,2020-12-01,False,89.29,A,13,1013498.0,10134982017.0
57,"Chateau Rouget, Pomerol",40570,chateau-rouget-pomerol,Pomerol,pomerol,Red,,['Bordeaux'],France,,2017,2020-12-01,False,89.27,B,13,1014844.0,10148442017.0
58,"Chateau Lafleur Gazin, Pomerol",37912,chateau-lafleur-gazin-pomerol,Pomerol,pomerol,Red,,['Bordeaux'],France,,2017,2020-12-01,False,89.07,A,13,1011931.0,10119312017.0
59,"Clos Rene, Pomerol",44049,clos-rene-pomerol,Pomerol,pomerol,Red,,['Bordeaux'],France,,2017,2020-12-01,False,89.04,B,7,1008472.0,10084722017.0
60,"Chateau Mazeyres, Pomerol",39246,chateau-mazeyres-pomerol,Pomerol,pomerol,Red,,['Bordeaux'],France,,2017,2020-12-01,False,88.92,A,12,1013137.0,10131372017.0
61,"Chateau Le Chemin, Pomerol",38278,chateau-le-chemin-pomerol,Pomerol,pomerol,Red,,['Bordeaux'],France,,2017,2020-12-01,False,88.92,B+,5,,
62,"Chateau Daugay, Saint Emilion",33687,chateau-daugay-saint-emilion,Saint Emilion,saint-emilion,Red,,['Bordeaux'],France,,2017,2020-12-01,False,88.83,A+,8,1335244.0,13352442017.0
